PG 0026+129	00 29 13.8	+13 16 05	0.142	-25.47	30.20	-29.21	26.46	-1.44
PG 0050+124	00 53 34.9	+12 41 36	0.061	-25.24	29.69	-28.96	25.96	-1.43
PG 0052+251	00 54 52.2	+25 25 39	0.155	-25.51	30.24	-29.12	26.64	-1.39
PG 0157+001	01 59 50.25	+00 23 40.8	0.164	-25.73	30.07	-29.83	25.97	-1.57
PG 0804+761	08 10 58.5	+76 02 43	0.100	-25.01	30.35	-28.91	26.45	-1.50
PG 0838+770	08 44 45.3	+76 53 10	0.131	-25.79	29.81	-29.76	25.84	-1.52
PG 0844+349	08 47 42.47	+34 45 04.4	0.064	-25.40	29.57	-30.28	24.69	-1.87
PG 0923+201	09 25 54.7	+19 54 04	0.190	-25.64	30.29	-29.59	26.34	-1.52
PG 0947+396	09 50 48.39	+39 26 50.5	0.206	-26.05	29.96	-29.60	26.41	-1.36
PG 0953+414	09 56 52.39	+41 15 22.2	0.239	-25.50	30.64	-29.50	26.64	-1.54
PG 1012+008	10 14 54.90	+00 33 37.4	0.185	-25.83	30.08	-30.02	25.89	-1.61
PG 1048+342	10 51 43.8	+33 59 26	0.167	-25.94	29.88	-29.85	25.97	-1.50
PG 1049-005	10 51 51.50	-00 51 17.7	0.357	-25.76	30.74	-30.18	26.32	-1.70
PG 1114+445	11 17 06.40	+44 13 33.3	0.144	-25.88	29.81	-30.14	25.54	-1.64
PG 1115+407	11 18 30.29	+40 25 54.0	0.154	-26.06	29.69	-29.86	25.89	-1.46
PG 1116+215	11 19 08.8	+21 19 18	0.177	-25.26	30.62	-29.35	26.52	-1.57
PG 1121+422	11 24 39.18	+42 01 45.0	0.234	-26.15	29.97	-29.88	26.24	-1.43
PG 1151+117	11 53 49.27	+11 28 30.4	0.176	-25.90	29.96	-29.56	26.30	-1.40
PG 1202+281	12 04 42.1	+27 54 12	0.165	-26.07	29.73	-29.52	26.29	-1.32
PG 1211+143	12 14 17.7	+14 03 13	0.085	-25.04	30.18	-28.85	26.37	-1.46
PG 1216+069	12 19 20.93	+06 38 38.5	0.334	-25.72	30.72	-29.58	26.86	-1.48
PG 1229+204	12 32 03.6	+20 09 30	0.064	-25.48	29.49	-29.15	25.82	-1.41
PG 1307+085	13 09 47.00	+08 19 48.2	0.155	-25.54	30.21	-29.47	26.29	-1.51
PG 1322+659	13 23 49.52	+65 41 48.2	0.168	-25.83	29.99	-29.56	26.26	-1.43
PG 1352+183	13 54 35.6	+18 05 18	0.158	-25.78	29.99	-29.59	26.18	-1.46
PG 1354+213	13 56 32.8	+21 03 51	0.300	-26.29	30.06	-29.98	26.37	-1.42
PG 1402+261	14 05 16.2	+25 55 34	0.164	-25.62	30.19	-29.45	26.35	-1.47
PG 1404+226	14 06 21.9	+22 23 47	0.098	-26.10	29.25	-29.51	25.83	-1.31
PG 1415+451	14 17 00.82	+44 56 06.4	0.114	-25.95	29.52	-29.97	25.51	-1.54
PG 1416-129	14 19 03.8	-13 10 45	0.129	-25.12	30.47	-29.17	26.42	-1.55
PG 1426+015	14 29 06.57	+01 17 06.1	0.086	-25.13	30.10	-28.91	26.32	-1.45
PG 1427+480	14 29 43.07	+47 47 26.2	0.221	-26.09	29.98	-29.96	26.11	-1.49
PG 1435-067	14 38 16.2	-06 58 20	0.129	-25.39	30.20	-29.47	26.12	-1.56
PG 1440+356	14 42 07.47	+35 26 23.0	0.077	-25.52	29.61	-29.03	26.10	-1.35
PG 1444+407	14 46 45.94	+40 35 05.8	0.267	-25.85	30.39	-29.98	26.26	-1.59
PG 1519+226	15 21 14.3	+22 27 44	0.137	-25.86	29.78	-29.95	25.69	-1.57
PG 1543+489	15 45 30.24	+48 46 09.1	0.400	-26.00	30.61	-30.47	26.14	-1.72
PG 1552+085	15 54 44.58	+08 22 21.5	0.119	-25.81	29.71	-30.13	25.38	-1.66
PG 1612+261	16 14 13.20	+26 04 16.2	0.131	-25.77	29.83	-29.15	26.45	-1.30
PG 1613+658	16 13 57.2	+65 43 10	0.129	-25.78	29.81	-29.09	26.50	-1.27
PG 1617+175	16 20 11.2	+17 24 28	0.114	-25.32	30.16	-29.67	25.81	-1.67
PG 1626+554	16 27 56.2	+55 22 32	0.133	-25.87	29.74	-29.34	26.27	-1.33
PG 2130+099	21 32 27.82	+10 08 19.2	0.061	-25.20	29.72	-28.96	25.97	-1.44
PG 2214+139	22 17 12.26	+14 14 20.9	0.067	-25.44	29.57	-30.66	24.35	-2.00
PG 2233+134	22 36 07.68	+13 43 55.3	0.325	-25.90	30.52	-30.03	26.39	-1.59
